filename,onset_sec,offset_sec
audio_recording_2025-09-15T02_47_43.241717Z_ch_00.wav,45.57,45.95
audio_recording_2025-09-15T02_47_43.241717Z_ch_08.wav,45.51,45.93
audio_recording_2025-09-15T02_47_43.241717Z_ch_15.wav,45.53,45.93
audio_recording_2025-09-15T02_47_43.241717Z_ch_16.wav,46.38,46.83
audio_recording_2025-09-15T03_12_43.375950Z_ch_08.wav,30.62,31.04
audio_recording_2025-09-15T03_12_43.375950Z_ch_08.wav,32.34,32.58
audio_recording_2025-09-15T03_12_43.375950Z_ch_08.wav,35.86,36.23
audio_recording_2025-09-15T03_12_43.375950Z_ch_08.wav,39.02,39.44
audio_recording_2025-09-15T03_12_43.375950Z_ch_08.wav,0.45,0.64
audio_recording_2025-09-15T03_12_43.375950Z_ch_08.wav,21.57,22.06
audio_recording_2025-09-15T07_55_43.161954Z_ch_03.wav,10.56,10.78
audio_recording_2025-09-15T07_55_43.161954Z_ch_03.wav,13.75,13.93
audio_recording_2025-09-15T07_55_43.161954Z_ch_03.wav,18.1,18.3
audio_recording_2025-09-15T07_55_43.161954Z_ch_03.wav,27.59,27.83
audio_recording_2025-09-15T07_55_43.161954Z_ch_03.wav,29.89,30.14
audio_recording_2025-09-15T07_55_43.161954Z_ch_03.wav,32.51,32.79
audio_recording_2025-09-15T07_55_43.161954Z_ch_03.wav,35.15,35.44
audio_recording_2025-09-15T07_55_43.161954Z_ch_03.wav,39.76,40.0
audio_recording_2025-09-15T07_55_43.161954Z_ch_03.wav,42.2,42.43
audio_recording_2025-09-15T07_55_43.161954Z_ch_03.wav,43.87,44.12
audio_recording_2025-09-15T07_55_43.161954Z_ch_03.wav,49.35,49.67
audio_recording_2025-09-15T07_55_43.161954Z_ch_03.wav,50.74,51.02
audio_recording_2025-09-15T07_55_43.161954Z_ch_04.wav,27.6,27.83
audio_recording_2025-09-15T07_55_43.161954Z_ch_04.wav,29.88,30.12
audio_recording_2025-09-15T07_55_43.161954Z_ch_04.wav,32.51,32.8
audio_recording_2025-09-15T07_55_43.161954Z_ch_04.wav,35.16,35.44
audio_recording_2025-09-15T07_55_43.161954Z_ch_04.wav,39.76,40.0
audio_recording_2025-09-15T07_55_43.161954Z_ch_04.wav,42.22,42.44
audio_recording_2025-09-15T07_55_43.161954Z_ch_04.wav,43.9,44.14
audio_recording_2025-09-15T07_55_43.161954Z_ch_04.wav,49.36,49.66
audio_recording_2025-09-15T07_55_43.161954Z_ch_04.wav,50.76,50.98
audio_recording_2025-09-15T07_55_43.161954Z_ch_05.wav,27.59,27.82
audio_recording_2025-09-15T07_55_43.161954Z_ch_05.wav,32.53,32.81
audio_recording_2025-09-15T07_55_43.161954Z_ch_05.wav,35.16,35.45
audio_recording_2025-09-15T07_55_43.161954Z_ch_05.wav,39.75,40.02
audio_recording_2025-09-15T07_55_43.161954Z_ch_05.wav,42.19,42.43
audio_recording_2025-09-15T07_55_43.161954Z_ch_05.wav,43.03,43.21
audio_recording_2025-09-15T07_55_43.161954Z_ch_05.wav,43.86,44.14
audio_recording_2025-09-15T07_55_43.161954Z_ch_05.wav,49.35,49.66
audio_recording_2025-09-15T07_55_43.161954Z_ch_05.wav,50.77,51.02
audio_recording_2025-09-15T07_55_43.161954Z_ch_11.wav,27.61,27.83
audio_recording_2025-09-15T07_55_43.161954Z_ch_11.wav,32.52,32.8
audio_recording_2025-09-15T07_55_43.161954Z_ch_11.wav,35.16,35.43
audio_recording_2025-09-15T07_55_43.161954Z_ch_11.wav,39.77,40.0
audio_recording_2025-09-15T07_55_43.161954Z_ch_11.wav,42.19,42.43
audio_recording_2025-09-15T07_55_43.161954Z_ch_11.wav,43.89,44.13
audio_recording_2025-09-15T07_55_43.161954Z_ch_11.wav,49.38,49.65
audio_recording_2025-09-15T07_55_43.161954Z_ch_11.wav,50.44,50.59
audio_recording_2025-09-15T07_55_43.161954Z_ch_11.wav,50.76,50.98
audio_recording_2025-09-15T08_19_42.930824Z_ch_04.wav,2.91,3.13
audio_recording_2025-09-15T08_19_42.930824Z_ch_04.wav,25.11,25.19
audio_recording_2025-09-15T15_31_48.237529Z_ch_28.wav,5.7,5.89
audio_recording_2025-09-15T15_31_48.237529Z_ch_28.wav,11.37,11.52
audio_recording_2025-09-15T15_31_48.237529Z_ch_28.wav,12.14,12.24
audio_recording_2025-09-15T15_31_48.237529Z_ch_28.wav,14.54,14.68
audio_recording_2025-09-15T15_36_48.404392Z_ch_21.wav,50.19,50.34
audio_recording_2025-09-15T15_36_48.404392Z_ch_22.wav,0.19,0.35
audio_recording_2025-09-15T15_36_48.404392Z_ch_22.wav,50.15,50.34
audio_recording_2025-09-15T15_36_48.404392Z_ch_28.wav,50.17,50.36
audio_recording_2025-09-15T15_36_48.404392Z_ch_29.wav,19.72,19.91
audio_recording_2025-09-15T15_36_48.404392Z_ch_29.wav,25.81,25.86
audio_recording_2025-09-15T15_36_48.404392Z_ch_29.wav,50.18,50.35
audio_recording_2025-09-15T15_39_48.635876Z_ch_12.wav,13.15,13.36
audio_recording_2025-09-15T15_39_48.635876Z_ch_18.wav,13.17,13.37
audio_recording_2025-09-15T15_39_48.635876Z_ch_18.wav,50.2,50.38
audio_recording_2025-09-15T15_39_48.635876Z_ch_19.wav,13.16,13.36
audio_recording_2025-09-15T15_39_48.635876Z_ch_21.wav,13.16,13.38
audio_recording_2025-09-15T15_39_48.635876Z_ch_22.wav,13.17,13.37
audio_recording_2025-09-15T15_39_48.635876Z_ch_23.wav,13.15,13.38
audio_recording_2025-09-15T15_39_48.635876Z_ch_28.wav,13.17,13.38
audio_recording_2025-09-15T15_39_48.635876Z_ch_29.wav,13.16,13.38
audio_recording_2025-09-15T15_39_48.635876Z_ch_31.wav,13.15,13.38
audio_recording_2025-09-15T16_12_49.177436Z_ch_03.wav,47.76,47.89
audio_recording_2025-09-15T16_12_49.177436Z_ch_03.wav,56.2,56.63
audio_recording_2025-09-15T16_12_49.177436Z_ch_04.wav,47.76,47.87
audio_recording_2025-09-15T16_12_49.177436Z_ch_04.wav,56.19,56.62
audio_recording_2025-09-15T16_17_48.997347Z_ch_12.wav,9.33,9.54
audio_recording_2025-09-15T16_17_48.997347Z_ch_12.wav,39.24,39.41
audio_recording_2025-09-15T16_17_48.997347Z_ch_12.wav,42.38,42.59
audio_recording_2025-09-15T16_17_48.997347Z_ch_12.wav,43.61,43.86
audio_recording_2025-09-15T16_17_48.997347Z_ch_13.wav,9.32,9.53
audio_recording_2025-09-15T16_17_48.997347Z_ch_13.wav,43.63,43.84
audio_recording_2025-09-15T16_17_48.997347Z_ch_19.wav,9.34,9.54
audio_recording_2025-09-15T16_17_48.997347Z_ch_19.wav,39.26,39.43
audio_recording_2025-09-15T16_17_48.997347Z_ch_19.wav,42.41,42.6
audio_recording_2025-09-15T16_17_48.997347Z_ch_19.wav,43.64,43.87
audio_recording_2025-09-15T16_17_48.997347Z_ch_19.wav,48.77,48.96
audio_recording_2025-09-15T16_17_48.997347Z_ch_19.wav,52.53,52.68
audio_recording_2025-09-15T17_00_49.337312Z_ch_00.wav,33.32,33.57
audio_recording_2025-09-15T17_00_49.337312Z_ch_00.wav,37.37,37.59
audio_recording_2025-09-15T17_00_49.337312Z_ch_00.wav,47.35,47.56
audio_recording_2025-09-15T17_00_49.337312Z_ch_08.wav,1.71,1.81
audio_recording_2025-09-15T17_00_49.337312Z_ch_08.wav,33.32,33.57
audio_recording_2025-09-15T17_00_49.337312Z_ch_08.wav,37.37,37.59
audio_recording_2025-09-15T17_00_49.337312Z_ch_09.wav,3.69,3.76
audio_recording_2025-09-15T17_00_49.337312Z_ch_09.wav,33.33,33.57
audio_recording_2025-09-15T17_00_49.337312Z_ch_09.wav,37.36,37.58
audio_recording_2025-09-15T17_00_49.337312Z_ch_15.wav,33.34,33.56
audio_recording_2025-09-15T17_00_49.337312Z_ch_15.wav,37.38,37.59
audio_recording_2025-09-15T17_00_49.337312Z_ch_16.wav,1.71,1.83
audio_recording_2025-09-15T17_00_49.337312Z_ch_16.wav,33.34,33.59
audio_recording_2025-09-15T17_00_49.337312Z_ch_16.wav,37.41,37.57
